,Country,Cases in the last seven days,Cases in the preceding seven days,Deaths in the last seven days,Deaths in the preceding seven days,Weekly Case Change in percentage,Weekly Death Change in percentage,Weekly Cases Change,Weekly Deaths Change,Population
1,Afghanistan,10946,9345,432,277,0.17,0.56,1601,155,39758628
2,Albania,77,69,1,1,0.12,0,8,0,2874802
3,Algeria,2459,2370,52,55,0.04,-0.05,89,-3,44601969
4,Andorra,49,50,0,0,-0.02,0,-1,0,77383
5,Angola,936,1303,36,34,-0.28,0.06,-367,2,33831918
6,Antigua and Barbuda,0,3,0,0,-1,0,-3,0,98700
7,Argentina,167848,195850,4083,3853,-0.14,0.06,-28002,230,45590077
8,Armenia,511,542,25,25,-0.06,0,-31,0,2968518
9,Aruba,22,74,0,0,-0.7,0,-52,0,107198
10,Australia,68,88,0,0,-0.23,0,-20,0,25780993
11,Austria,1653,2264,22,37,-0.27,-0.41,-611,-15,9055300
12,Azerbaijan,449,791,10,32,-0.43,-0.69,-342,-22,10226069
13,Bahamas,175,228,5,2,-0.23,1.5,-53,3,396816
14,Bahrain,6923,12069,93,163,-0.43,-0.43,-5146,-70,1757376
15,Bangladesh,17012,12420,303,250,0.37,0.21,4592,53,166249007
16,Barbados,5,15,0,0,-0.67,0,-10,0,287710
17,Belarus,5938,5983,68,68,-0.008,0,-45,0,9446361
18,Belgium,5536,9602,55,93,-0.42,-0.41,-4066,-38,11637638
19,Belize,72,90,1,1,-0.2,0,-18,0,404473
20,Benin,27,24,0,1,0.13,-1,3,-1,12423583
21,Bermuda,1,3,0,0,-0.67,0,-2,0,62059
22,Bhutan,123,83,0,0,0.48,0,40,0,779682
23,Bolivia,19792,18688,518,553,0.06,-0.06,1104,-35,11824220
24,Bosnia and Herzegovina,258,398,84,158,-0.35,-0.47,-140,-74,3261346
25,Botswana,3362,3122,41,36,0.08,0.14,240,5,2396627
26,Brazil,469049,438138,13790,11648,0.07,0.18,30911,2142,213996756
27,Brunei,4,1,0,0,3,0,3,0,441461
28,Bulgaria,812,1104,61,154,-0.26,-0.6,-292,-93,6898520
29,Burkina Faso,6,19,0,1,-0.68,-1,-13,-1,21445283
30,Burundi,101,135,0,2,-0.25,-1,-34,-2,12225417
31,Cabo Verde,500,708,9,3,-0.29,2,-208,6,561726
32,Cambodia,4136,4739,82,52,-0.13,0.58,-603,30,16938666
33,Cameroon,1161,0,35,0,1161,0.03,1161,35,27171200
34,Canada,9139,12564,183,214,-0.27,-0.14,-3425,-31,38056808
35,CAR,0,10,0,0,-1,0,-10,0,4909418
36,Caribbean Netherlands,3,3,0,0,0,0,0,0,26455
37,Cayman Islands,6,3,0,0,1,0,3,0,66455
38,Chad,3,9,0,1,-0.67,-1,-6,-1,16871390
39,Channel Islands,36,10,0,0,2.6,0,26,0,175387
40,Chile,47779,50538,746,758,-0.05,-0.02,-2759,-12,19272237
41,China,184,168,0,0,0.1,0,16,0,1444615335
42,Colombia,184584,186560,3870,3722,-0.01,0.04,-1976,148,51398316
43,Comoros,11,9,0,0,0.22,0,2,0,887151
44,Congo,95,368,3,4,-0.74,-0.25,-273,-1,5646633
45,Costa Rica,11684,12934,160,187,-0.1,-0.14,-1250,-27,5138345
46,Croatia,973,1427,61,65,-0.32,-0.06,-454,-4,4081110
47,Cuba,8954,7837,73,67,0.14,0.09,1117,6,11320027
48,Curacao,16,8,0,1,1,-1,8,-1,164732
49,Cyprus,388,402,10,4,-0.03,1.5,-14,6,1215719
50,Czechia,1416,2330,19,36,-0.39,-0.47,-914,-17,10727905
51,Denmark,3163,5721,6,4,-0.45,0.5,-2558,2,5811623
52,Djibouti,10,32,0,0,-0.69,0,-22,0,1001639
53,Dominica,1,0,0,0,1,0,1,0,72156
54,Dominican Republic,7493,9198,53,27,-0.19,0.96,-1705,26,10951312
55,DRC,2330,1687,41,23,0.38,0.78,643,18,92133757
56,Ecuador,6400,6702,237,242,-0.05,-0.02,-302,-5,17897337
57,Egypt,5041,6104,255,303,-0.17,-0.16,-1063,-48,104164359
58,El Salvador,552,1097,25,25,-0.5,0,-545,0,6517354
59,Equatorial Guinea,36,97,1,1,-0.63,0,-61,0,1446497
60,Eritrea,482,405,2,0,0.19,2,77,2,3593026
61,Estonia,382,613,2,12,-0.38,-0.83,-231,-10,1327385
62,Eswatini,82,69,3,0,0.19,3,13,3,1171581
63,Ethiopia,1322,1483,37,48,-0.11,-0.23,-161,-11,117658580
64,Faeroe Islands,13,26,0,0,-0.5,0,-13,0,49040
65,Fiji,455,313,0,0,0.45,0,142,0,902624
66,Finland,569,793,5,3,-0.28,0.67,-224,2,5548919
67,France,27435,46595,390,531,-0.41,-0.27,-19160,-141,65411076
68,French Guiana,853,899,10,10,-0.05,0,-46,0,306006
69,French Polynesia,40,29,0,0,0.38,0,11,0,282453
70,Gabon,164,162,3,2,0.01,0.5,2,1,2275455
71,Gambia,14,9,1,0,0.56,1,5,1,2480855
72,Georgia,4871,5442,126,161,-0.1,-0.22,-571,-35,3981867
73,Germany,13860,20423,562,817,-0.32,-0.31,-6563,-255,84039039
74,Ghana,265,266,2,2,-0.004,0,-1,0,31687517
75,Gibraltar,12,5,0,0,1.4,0,7,0,33681
76,Greece,5235,7860,136,206,-0.33,-0.34,-2625,-70,10374487
77,Greenland,1,3,0,0,-0.67,0,-2,0,56864
78,Guadeloupe,78,0,4,0,78,4,78,4,400189
79,Guatemala,9735,7838,160,140,0.24,0.14,1897,20,18229810
80,Guinea,91,130,4,2,-0.3,1,-39,2,13469673
81,Guinea-Bissau,16,21,1,0,-0.24,1,-5,1,2012036
82,Guyana,728,766,19,22,-0.05,-0.14,-38,-3,790165
83,Haiti,908,1301,28,19,-0.3,0.47,-393,9,11534575
84,Honduras,5902,4245,152,163,0.39,-0.07,1657,-11,10054093
85,Hong Kong,13,24,0,0,-0.46,0,-11,0,7554825
86,Hungary,956,1551,59,133,-0.38,-0.56,-595,-74,9636963
87,Iceland,9,26,0,0,-0.65,0,-17,0,343350
88,India,573086,823294,13415,20576,-0.3,-0.35,-250208,-7161,1392901572
89,Indonesia,56516,41328,1313,1225,0.37,0.07,15188,88,276272465
90,Iran,68162,58134,1034,1027,0.17,0.01,10028,7,85014049
91,Iraq,30562,27769,170,191,0.1,-0.11,2793,-21,41077310
92,Ireland,2235,2844,0,0,-0.21,0,-609,0,4990198
93,Isle of Man,1,6,0,0,-0.83,0,-5,0,85461
94,Israel,105,110,12,6,-0.05,1,-5,6,9326000
95,Italy,12083,15875,450,460,-0.24,-0.02,-3792,-10,60377078
96,Ivory Coast,267,201,0,1,0.33,-1,66,-1,26996457
97,Jamaica,373,426,40,23,-0.12,0.74,-53,17,2973470
98,Japan,12618,17693,497,607,-0.29,-0.18,-5075,-110,126107259
99,Jordan,3375,3968,61,79,-0.15,-0.23,-593,-18,10299417
100,Kazakhstan,7175,8515,95,121,-0.16,-0.21,-1340,-26,18990078
101,Kenya,3042,1904,113,136,0.6,-0.17,1138,-23,54893177
102,Kuwait,10850,9454,30,26,0.15,0.15,1396,4,4330523
103,Kyrgyzstan,3494,2606,47,44,0.34,0.07,888,3,6626320
104,Laos,42,56,0,0,-0.25,0,-14,0,7375786
105,Latvia,1216,1689,43,37,-0.28,0.16,-473,6,1866280
106,Lebanon,1021,1240,32,40,-0.18,-0.2,-219,-8,6796290
107,Lesotho,86,6,0,0,13.33,0,80,0,2158400
108,Liberia,285,99,6,2,1.88,2,186,4,5170226
109,Libya,1599,1909,19,20,-0.16,-0.05,-310,-1,6960018
110,Liechtenstein,4,10,1,0,-0.6,1,-6,1,38232
111,Lithuania,1268,2143,32,40,-0.41,-0.2,-875,-8,2685987
112,Luxembourg,189,324,0,3,-0.42,-1,-135,-3,635641
113,Macao,1,0,0,0,1,0,1,0,657740
114,Madagascar,206,400,23,27,-0.49,-0.15,-194,-4,28364534
115,Malawi,161,65,2,2,1.48,0,96,0,19597619
116,Malaysia,40371,49729,508,664,-0.19,-0.23,-9358,-156,32759865
117,Maldives,2171,4106,10,27,-0.47,-0.63,-1935,-17,549574
118,Mali,50,35,4,2,0.43,1,15,2,20802155
119,Malta,11,36,0,0,-0.69,0,-25,0,442663
120,Martinique,70,80,3,0,-0.13,3,-10,3,374988
121,Mauritania,256,306,6,7,-0.16,-0.14,-50,-1,4765268
122,Mauritius,243,83,0,0,1.93,0,160,0,1273778
123,Mexico,20495,20871,1344,1058,-0.02,0.27,-376,286,130220196
124,Moldova,329,315,17,30,0.04,-0.43,14,-13,4025024
125,Monaco,18,4,0,1,3.5,-1,14,-1,39507
126,Mongolia,11904,8004,56,37,0.49,0.51,3900,19,3328384
127,Montenegro,130,211,8,10,-0.38,-0.2,-81,-2,628142
128,Morocco,2469,2314,32,34,0.07,-0.06,155,-2,37326203
129,Mozambique,423,350,3,2,0.21,0.5,73,1,32083324
130,Myanmar,1370,827,21,10,0.66,1.1,543,11,54756817
131,Namibia,6723,3543,88,90,0.9,-0.02,3180,-2,2584542
132,Nepal,19027,30192,475,604,-0.37,-0.21,-11165,-129,29633797
133,Netherlands,9169,14967,33,58,-0.39,-0.43,-5798,-25,17170982
134,New Zealand,27,9,0,0,2,0,18,0,5002100
135,Nicaragua,181,157,1,1,0.15,0,24,0,6699432
136,Niger,13,29,0,0,-0.55,0,-16,0,25032956
137,Nigeria,262,298,0,18,-0.12,-1,-36,-18,210974843
138,North Macedonia,122,151,14,45,-0.19,-0.69,-29,-31,2083292
139,Norway,1211,1950,5,1,-0.38,4,-739,4,5461559
140,Oman,11345,7871,108,79,0.44,0.37,3474,29,5229513
141,Pakistan,8559,12577,400,544,-0.32,-0.26,-4018,-144,224958200
142,Palestine,1457,1883,22,20,-0.23,0.1,-426,2,5213698
143,Panama,5474,4754,47,33,0.15,0.42,720,14,4379224
144,Papua New Guinea,308,464,1,2,-0.34,-0.5,-156,-1,9107705
145,Paraguay,17486,20612,949,819,-0.15,0.16,-3126,130,7215765
146,Peru,19253,27296,2164,2488,-0.29,-0.13,-8043,-324,33407957
147,Philippines,46057,45706,876,1003,0.008,-0.13,351,-127,110966155
148,Poland,2279,3049,414,415,-0.25,0,-770,-1,37807102
149,Portugal,5038,3941,11,11,0.28,0,1097,0,10168359
150,Qatar,1089,1340,10,13,-0.19,-0.23,-251,-3,2807805
151,Romania,824,1215,103,167,-0.32,-0.38,-391,-64,19115223
152,Russia,86542,63949,2684,2616,0.35,0.03,22593,68,145994086
153,Rwanda,1307,344,12,7,2.8,0.71,963,5,13256072
154,Reunion,2334,0,23,0,2334,0.02,2334,23,901390
155,S. Korea,3636,4297,14,15,-0.15,-0.07,-661,-1,51311222
156,Saint Kitts and Nevis,61,26,0,0,1.35,0,35,0,53557
157,Saint Lucia,42,71,0,1,-0.41,-1,-29,-1,184426
158,Saint Martin,0,125,0,0,-1,0,-125,0,39292
159,Sao Tome and Principe,5,8,0,0,-0.38,0,-3,0,223018
160,Saudi Arabia,8199,8271,119,109,-0.009,0.09,-72,10,35328415
161,Senegal,310,297,7,9,0.04,-0.22,13,-2,17161306
162,Serbia,1175,1368,46,59,-0.14,-0.22,-193,-13,8703804
163,Seychelles,1164,845,4,4,0.38,0,319,0,98926
164,Sierra Leone,225,61,3,0,2.69,3,164,3,8130714
165,Singapore,91,159,1,0,-0.43,1,-68,1,5894102
166,Sint Maarten,48,59,3,1,-0.19,2,-11,2,43338
167,Slovakia,587,730,27,71,-0.2,-0.62,-143,-44,5462162
168,Slovenia,1035,1710,16,15,-0.39,0.07,-675,1,2079210
169,Somalia,49,106,1,4,-0.54,-0.75,-57,-3,16312450
170,South Africa,52781,34232,816,557,0.54,0.46,18549,259,60018957
171,Spain,24863,29232,281,283,-0.15,-0.01,-4369,-2,46772033
172,Sri Lanka,17943,21615,471,305,-0.17,0.54,-3672,166,21498720
173,St. Vincent Grenadines,71,50,0,0,0.42,0,21,0,111275
174,Sudan,300,492,35,66,-0.39,-0.47,-192,-31,44818605
175,Suriname,1813,1832,57,53,-0.01,0.08,-19,4,591630
176,Sweden,2744,7700,3,24,-0.64,-0.88,-4956,-21,10159183
177,Switzerland,2366,3629,20,31,-0.35,-0.35,-1263,-11,8714827
178,Syria,180,185,19,26,-0.03,-0.27,-5,-7,17903057
179,Taiwan,1631,2587,166,162,-0.37,0.02,-956,4,23857836
180,Thailand,19378,20094,197,238,-0.04,-0.17,-716,-41,69966781
181,Timor-Leste,577,770,2,1,-0.25,1,-193,1,1342252
182,Togo,89,76,1,0,0.17,1,13,1,8462427
183,Trinidad and Tobago,2183,2890,88,94,-0.24,-0.06,-707,-6,1403803
184,Tunisia,13474,11276,540,373,0.19,0.45,2198,167,11936154
185,Turkey,42446,44223,540,728,-0.04,-0.26,-1777,-188,85201530
186,Turks and Caicos,2,4,0,1,-0.5,-1,-2,-1,39214
187,UAE,14784,14203,28,22,0.04,0.27,581,6,10003924
188,Uganda,9138,6814,51,21,0.34,1.43,2324,30,47105212
189,UK,52077,35796,66,59,0.45,0.12,16281,7,68225401
190,Ukraine,8926,12558,477,679,-0.29,-0.3,-3632,-202,43483060
191,Uruguay,22035,24280,344,416,-0.09,-0.17,-2245,-72,3485193
192,USA,92327,109815,2439,2985,-0.16,-0.18,-17488,-546,332849650
193,Uzbekistan,1849,1629,12,6,0.14,1,220,6,33929687
194,Venezuela,9262,9456,111,88,-0.02,0.26,-194,23,28359115
195,Vietnam,1827,1662,6,6,0.1,0,165,0,98171301
196,Yemen,51,70,14,15,-0.27,-0.07,-19,-1,30448167
197,Zambia,12369,5502,101,34,1.25,1.97,6867,67,18870721
198,Zimbabwe,839,277,24,15,2.03,0.6,562,9,15068321
